,Cod_setor,households,population
0,313820305000001,154.0,420.0
1,313820305000002,329.0,910.0
2,313820305000003,227.0,663.0
3,313820305000004,160.0,448.0
4,313820305000005,91.0,213.0
5,313820305000006,208.0,523.0
6,313820305000007,187.0,539.0
7,313820305000008,197.0,574.0
8,313820305000009,77.0,212.0
9,313820305000010,125.0,322.0
10,313820305000011,115.0,350.0
11,313820305000012,187.0,490.0
12,313820305000013,172.0,508.0
13,313820305000014,147.0,439.0
14,313820305000015,180.0,447.0
15,313820305000016,230.0,584.0
16,313820305000017,263.0,726.0
17,313820305000018,283.0,850.0
18,313820305000019,234.0,716.0
19,313820305000020,269.0,821.0
20,313820305000021,146.0,443.0
21,313820305000022,177.0,549.0
22,313820305000023,194.0,604.0
23,313820305000024,252.0,734.0
24,313820305000025,198.0,606.0
25,313820305000026,214.0,660.0
26,313820305000027,135.0,401.0
27,313820305000028,138.0,425.0
28,313820305000029,77.0,229.0
29,313820305000030,151.0,423.0
30,313820305000031,134.0,459.0
31,313820305000032,136.0,382.0
32,313820305000033,263.0,866.0
33,313820305000034,168.0,536.0
34,313820305000035,210.0,566.0
35,313820305000036,379.0,1300.0
36,313820305000037,196.0,699.0
37,313820305000038,277.0,944.0
38,313820305000039,294.0,954.0
39,313820305000040,308.0,935.0
40,313820305000041,158.0,462.0
41,313820305000042,200.0,652.0
42,313820305000043,265.0,843.0
43,313820305000044,223.0,596.0
44,313820305000045,153.0,410.0
45,313820305000046,142.0,399.0
46,313820305000047,285.0,902.0
47,313820305000048,203.0,542.0
48,313820305000049,174.0,505.0
49,313820305000050,279.0,865.0
50,313820305000051,238.0,778.0
51,313820305000052,185.0,559.0
52,313820305000053,230.0,754.0
53,313820305000054,234.0,753.0
54,313820305000055,142.0,474.0
55,313820305000056,155.0,542.0
56,313820305000057,287.0,970.0
57,313820305000058,223.0,763.0
58,313820305000059,243.0,894.0
59,313820305000060,223.0,730.0
60,313820305000061,136.0,434.0
61,313820305000063,209.0,696.0
62,313820305000064,327.0,1096.0
63,313820305000065,208.0,627.0
64,313820305000066,199.0,622.0
65,313820305000067,265.0,828.0
66,313820305000068,196.0,613.0
67,313820305000069,199.0,645.0
68,313820305000070,217.0,646.0
69,313820305000071,250.0,764.0
70,313820305000072,144.0,446.0
71,313820305000073,201.0,633.0
72,313820305000074,210.0,755.0
73,313820305000075,218.0,770.0
74,313820305000076,179.0,617.0
75,313820305000077,167.0,580.0
76,313820305000078,191.0,645.0
77,313820305000079,186.0,602.0
78,313820305000080,260.0,877.0
79,313820305000081,217.0,725.0
80,313820305000082,224.0,765.0
81,313820305000083,250.0,943.0
82,313820305000084,199.0,653.0
83,313820305000085,189.0,636.0
84,313820305000086,237.0,761.0
85,313820305000087,252.0,788.0
86,313820305000088,294.0,986.0
87,313820305000089,280.0,941.0
88,313820305000090,242.0,774.0
89,313820305000091,189.0,630.0
90,313820305000092,201.0,692.0
91,313820305000093,347.0,1171.0
92,313820305000094,210.0,705.0
93,313820305000095,292.0,945.0
94,313820305000096,158.0,497.0
95,313820305000097,192.0,553.0
96,313820305000098,274.0,839.0
97,313820305000099,241.0,697.0
98,313820305000100,267.0,821.0
99,313820305000101,208.0,742.0
100,313820305000102,246.0,765.0
101,313820305000103,342.0,1097.0
102,313820305000104,316.0,1027.0
103,313820305000105,261.0,859.0
104,313820305000106,108.0,439.0
105,313820305000107,479.0,1629.0
106,313820305000108,188.0,617.0
107,313820305000109,185.0,705.0
108,313820305000110,180.0,668.0
109,313820305000111,237.0,809.0
110,313820305000112,238.0,844.0
111,313820305000113,200.0,683.0
112,313820305000114,845.0,2583.0
113,313820305000115,385.0,1216.0
116,313820305000118,97.0,305.0
129,313820305000131,129.0,251.0
130,313820305000132,103.0,287.0
131,313820305000133,148.0,431.0
132,313820305000134,165.0,504.0
133,313820305000135,148.0,437.0
134,313820305000136,241.0,775.0
135,313820305000137,199.0,649.0
136,313820305000138,224.0,770.0
137,313820305000139,500.0,1614.0
138,313820305000140,183.0,595.0
139,313820305000141,220.0,743.0
143,313820305000148,16.0,59.0
144,313820305000149,7.0,32.0
